a-hydrocort	A-HYDROCORT
benazepril hydrochloride	BENAZEPRIL HYDROCHLORIDE
bendamustine hydrochloride	BENDAMUSTINE HYDROCHLORIDE
bendeka	BENDEKA
benicar	BENICAR
benlysta	BENLYSTA
benoquin	BENOQUIN
benoxinate hydrochloride	BENOXINATE HYDROCHLORIDE
benralizumab	BENRALIZUMAB
bensulfoid	BENSULFOID
bentiromide	BENTIROMIDE
benzaclin	BENZACLIN
benzhydrocodone hydrochloride	BENZHYDROCODONE HYDROCHLORIDE
benzonatate	BENZONATATE
benzoyl peroxide	BENZOYL PEROXIDE
benzphetamine hydrochloride	BENZPHETAMINE HYDROCHLORIDE
benzquinamide hydrochloride	BENZQUINAMIDE HYDROCHLORIDE
benzthiazide	BENZTHIAZIDE
benztropine mesylate	BENZTROPINE MESYLATE
benzyl benzoate	BENZYL BENZOATE
bepotastine besilate	BEPOTASTINE BESILATE
berahyaluronidase alfa-pmph	BERAHYALURONIDASE ALFA-PMPH
berotralstat dihydrochloride	BEROTRALSTAT DIHYDROCHLORIDE
berubigen	BERUBIGEN
besponsa	BESPONSA
betaderm	BETADERM
betagan	BETAGAN
betamethasone benzoate	BETAMETHASONE BENZOATE
betamethasone dipropionate	BETAMETHASONE DIPROPIONATE
betamethasone sodium phosphate	BETAMETHASONE SODIUM PHOSPHATE
betamethasone valerate	BETAMETHASONE VALERATE
betaprone	BETAPRONE
betatrex	BETATREX
betaxolol hydrochloride	BETAXOLOL HYDROCHLORIDE
bethanechol chloride	BETHANECHOL CHLORIDE
betoptic pilo	BETOPTIC PILO
betoptic s	BETOPTIC S
bevacizumab	BEVACIZUMAB
bevacizumab-awwb	BEVACIZUMAB-AWWB
bevacizumab-bvzr	BEVACIZUMAB-BVZR
bevespi aerosphere	BEVESPI AEROSPHERE
bexagliflozin	BEXAGLIFLOZIN
bexarotene	BEXAROTENE
bextra	BEXTRA
bezlotoxumab	BEZLOTOXUMAB
biaxin xl	BIAXIN XL
bicalutamide	BICALUTAMIDE
bictegravir, emtricitabine and tenofovir alafenamide	BICTEGRAVIR, EMTRICITABINE AND TENOFOVIR ALAFENAMIDE
bildyos	BILDYOS
bilopaque	BILOPAQUE
bilprevda	BILPREVDA
biltricide	BILTRICIDE
bimatoprost	BIMATOPROST
binimetinib	BINIMETINIB
bio-tropin	BIO-TROPIN
biotin	BIOTIN
biperiden hydrochloride	BIPERIDEN HYDROCHLORIDE
biphetamine 12.5	BIPHETAMINE 12.5
biphetamine 20	BIPHETAMINE 20
biphetamine 7.5	BIPHETAMINE 7.5
bisacodyl	BISACODYL
